Yelp Review,Sentiment (Teacher),Sentimemnt (Student Pre-training),Sentiment (Student post Distillation)
Spent 2 Nites right @ the Bar at my favorite Vegas joint. Spago is what makes Vegas Special. Great appetizers. Wonderful drink concoctions by 2 Spirir Pros: Tony & Peter. We had a blast here each nite\n\nWe'll be back....like we always do.,positive,neutral,positive
"Came Thanksgiving weekend to watch the Sting concert at the Colosseum. After the concert, we decided to grab a bite at Spago's. Surprisingly, we only ordered two entrees (Those who know me well, know that I usually go ALL out and order a few appetizers, entrees, and desserts. My eyes are ALWAYS bigger than my stomach!). \n\nThe bolognese pasta with fresh ricotta cheese was oh-so yummy. I usually don't order meat sauces because I can make that stuff anytime at home...However, I'm glad I ordered this entree, which was cooked al dente and the amount of sauce didn't overpower the pasta itself. The portion was reasonable too.\n\nThe fairly thin-crusted prosciutto pizza with baby arugula was yummy too! The prosciutto tasted fresh and not dried out. Only request I have is if there was more prosciutto on the pizza!!! LOVE, LOVE prosciutto!\n\nThe complimentary bread and crackers were delish too...the onion bread was good to dip into my pasta dish.\n\nThese two entrees including tax came out to exactly $40. \n\nWill come again!",positive,neutral,negative
"5 Stars for the Food! 1 Star for our server which was horrible!\n\nMy girlfriend and I have dined with Spago's a few times and every time we leave the restaurant satisfied. However this past weekend we met one of the worse wattress in fine dining. Her name was Keren. A few points about Keren\n\n1. Rushed us to order\n2. Never smiled \n3. Checked on us only once during the meal\n4. Everyone in the restaurant received their amuse bouche except us (our bill even listed it came with the meal but we never received it)\n5. Our food took a long time and she never once came by during the time we waited to reassure us it was coming out or was apologetic.\n6. No smile, I didn't feel welcomed\n\n\nOn to the food. We ordered the braised short ribs and the veal. The short ribs were excellent, came with knocchi on the bottom, very well portions. With the veal, I would skip it. Maybe I'm not a veal eater but it reminds me of pork chops. Overall, I think the wattress really left a bad taste in my mouth so my appetite was not well.",negative,neutral,negative
"Nice casual atmosphere....\n\nHowever the food was underwhelming to say the least.  If I was eating in a airport cafe or a 3 star hotel lobby, the food would be decent.  It was plain boring and lacked any intensity.\n\nService....Bleah!\n\nSerious WP, do you just want to say you have a bunch of restaurants in Vegas or do you really care what your restaurants are actually serving?  I get it. Tourist trap, lots of foot traffic....easy money. Yeah you don't care.",negative,neutral,negative
"I enjoyed my meal at Spago, but wasn't as impressed as my companions. The wedge salad is good but not notable, however the heirloom tomato and burrata salad special was outstanding - the best overall dish of the night. \n\nWe ended up splitting 3 pizzas - I have to say, I found the crust to be disappointing on all of them. Not much flavor at all - more of just a vehicle for the toppings. As for the specific pies:\n-Margherita - crust was a bit undercooked, and overall I would call this a pretty average Margherita pizza\n-Proscuitto - this was the best of the 3 - the Proscuitto and Fromage blanc worked perfectly together. With a great crust this pizza would have mind blowing potential.\n-Lamb Chorizo - a very nice pie overall - enjoyed the chorizo, and the toppings all worked well together. \n\nService was excellent.",positive,neutral,positive
"Spectacular food and service. We started with the blue shrimp salad which was prepared with an orange sauce - out of this world! My wife had the veal and I had the ahi tuna, both were marvelously presented and tasted phenomenal. Eat bite was savored. We pair our meals with the four vine Chardonnay (meat), and the Pinot noir (fish). Great choices. For dessert we had the apple crumble prepared in a bourbon sauce. That was the only part of the meal we would only give four stars. Everything else was five star.\n\nThe one drawback was the overwhelming noisy atmosphere. Might be their design intention though. We would recommend!",positive,neutral,negative
"In my 8 years living in Las Vegas, I never had a chance to try Spago. I view it as a bit out of price range, so when their 20 Year Anniversary came up with roll-back pricing, I had to try it. Went last night with my date, and we asked the assistant GM Drew to pick our food. Here's what he picked, and my thoughts on each:\n\nSignature Roasted Beet Goat Cheese Salad\nI never would have ordered this but it was delicious.\n\nHouse Smoked Sturgeon, Crisp Potato Galette, Horseradish Cream - $12\nIt was like a spicy latke with fish on top. Really good.\n\n\n\""Chinois Style\"" Colorado Lamb Chops, Cilantro Mint Vinaigrette, Sweet & Sour Eggplant - $33\nTender and delicious even without the sauce. Eggplant was so good my date and I couldn't figure out if it was eggplant!\n\nCantonese Style Roasted Duck with Wild Huckleberries, Ginger and Stir-Fried Baby Bok Choy - $20\nHuge and delicious, and unexpected as we thought we were only getting 1 main course to share. Needless to say we had plenty of leftovers.\n\nEven with the discount I spent a bit more than I had hoped, but everything was delicious and the service was great, as well. Oh, and they have an amazing bread platter. Wish I was hungrier and got to try more of that!\n\nThanks, Drew W & Scott G!",positive,neutral,negative
"Came here with hubs and the inlaws. OMG. Everything was amazing and everyone loved their food! Service was awesome and the chef even came by to check on us.\n\nWild mushroom risotto...mmmmmmmm!!!! My lamb chops were killer. Even the sun dried tomatoes were tasty and fresh. Hubs got the duck breast....ohhhh...myyyyy.....GAWD! My father-in-law's New York steak, even though he likes med well and I'm a med rare person, was still delicious. Mom-in-law got some fish dish, and I don't eat seafood but her plate was empty, so she obviously loved it. We shared the chocolate layer cake dessert which came with some salted caramel gelato...yum!\n\nWe were hurtin' so good afterward! This place is a must on our next trip to Vegas. One of the best dinners ever!!!",positive,neutral,negative
"Food was OK, but service was awesome! Our original group of 10 ballooned to a group of 20, and they didn't blink an eye and accommodated our group's last minute changes.",positive,neutral,positive
"Bah, a better word for this place would be \""SALT.\""\n\nFrom the salt covered butter that's served with the bread, to the salt drenched salad, arriving at the salty, uninspiring pepperoni pizza, all I could taste was salt. \n\nIt gets two stars simply for the servers, who were awesome and kind people. At least the water they provided was salt-less and helped re-hydrate me.",negative,neutral,positive
"You can't really go wrong at Spago. The staff was superb and the food was really good. I was totally bummed that the Wedge Salad was taken off the menu - it was one of my very favorites that I look forward to every time I'm in Vegas. Of course, the price was just a hair high for my comfort zone, but it was good nonetheless.",positive,neutral,positive
See my other Yelp under Forum Shops!\n\nBut DAMN - I love this store and the Forum Shops. Wonderful experiences.,positive,neutral,positive
"The customer service here is horrible. As most of the reviews say, I was not greeted and had to ask for help even though it was not a busy night. I wanted to get my make-up done and the lady told me very rudely I had to make an appointment and she did not offer me to wait as a walk in. My second time around I called to make an appointment. The lady who answered the phone told me she was going to put me on hold for a \""minute.\"" I was put on hold for exactly 18 minutes and 45 seconds only to be told they were all booked for tomorrow. I know this location stays open because of the location but they represent MAC as a company very poorly.",negative,neutral,negative
"i dont know if im super spoiled from eating in san francisco all the time or what. but i thought this place was terrible. as soon as i got in, you could definitely sense some attitude from the servers. if the food is good, i really wouldn't mind or care. i ordered the scallop special as a starter and got a sweet potato tortelloni with shortribs from their tasting menu. was also able to try stuff off their regular menu such as the pork, veal, salmon and desserts. the food was very underwhelming. i usually spare no expense when it comes to food, and pay very little attention to my bills usually. but this place was just ridiculous. it was marked up because of its vegas location. even without the markups, the food would have been nowhere near worth the price. \n\nthe flavors were very bland and did not contrast well as i would expect fine foods to. there was nothing surprising about the flavors out of every dish i tried. actually, there were even parts of my pasta that were not fully cooked. im a huge fan of the al dente, but hard pasta is not good in my opinion. maybe i went on an off night. food aside, having the staff trying to push every little charge on you isnt my idea of a nice experience.\n\nin addition, my friend asked for sorbet for dessert. they gave her 2 or 3 scoops of fruit sorbet for $16.....i don't know about that.",negative,neutral,positive
"There seems to be only one listing for this place here on Yelp, but to be accurate (as some others have noted) there are two places, the fancier and pricier Valentino and the more casual and cheaper Grill @ Valentino, we were considering taking in the fine dining option, but after viewing the menu, we just weren't feeling anything, so we went with the grill.\n\nService was a bit spotty, our waiter brought our water and immediately asked about our wine selection, before we had gotten a chance to view the list. Then, after bringing us our appetizer and salad course, was nowhere to be found when we wanted to order entrees. \n\nThe food, however, was very good. This place boasts one the best alfredo sauces I've had on the strip, and while it's not a particularly fancy option, it's something that many places don't do that well. Caesar salad was crisp and light and everything was generally what you'd expect from a casual italian place",positive,neutral,negative
"There is nothing wrong with this place. But there is nothing extraordinary either. To be quite honest, I dined there with my mom, because we had a 20% coupon. Why not?\n\nThe service was great; we had a couple of waiters, and for having to work during the holidays (I went during Christmas time), they were upbeat and knowledgeable.\n\nThe food, on the other hand, was nothing amazing. I got a side of roasted vegetables drizzled with Balsamic Vinegar, and it was fine. I also had a special ravioli of the day, which had an interesting flavor, but the texture was a bit on the chewier side. It did taste nice, but I was not overly impressed.\n\nOverall, nothing was too spectacular about this place, but it tasted fine. It is a little on the pricier side for the quality of food you get, but we had a coupon, so I wasn't too bummed about that!",neutral,neutral,positive
"The food was ok, ordered couple of appetizers, dinner and wine was thinking it was going to be great, but I was not impressed at all! Place was nice and clean, Server was nice..\nI don't think I would ever come back here, but I can atlest say I tried it .",negative,neutral,positive
"Very clean flavors. The tuna was seared to perfection. It was subtly seasoned and had really great flavors. What I didn't like was the slaw. It was mediocre at best. The shortribs with chipotle mash was yummy!!! Thought it was something I can make at home myself, the tuna, on the otherhand, I couldn't. \n\nThis was a great option when you want something casually nice but don't want to walk too far (if you're in the Central Strip).",positive,neutral,positive
"Great mexican fare, absolutely tasty and well executed. Great for lunch, not sure I would have dinner there, in the Canal Shoppes mall, unless you really want to see and hear the gondoliers on and on. A bit pricey for classic mexican food, no matter how good, so rating is set at 3.",neutral,neutral,positive
"Came to Vegas for SHOT show and subsequently never left the Venetian. Taqueria Canonita, you would think being so close to the border and with so many people coming from LA to Vegas, they would have some great Mexican food. I ordered the Santa Rosa Pork Barbacoa at the recommendation of the waiter. As my stomach churned for that slow cooked, delicious pork, I was greeted with a fairly bland and very dry pork. I would have been better off with Chipotle's barbacoa than what Canonita served up. The empanadas that were ordered for the table were far from crispy and the guacamole that came with the tortilla chips were not fully mashed. Far too many errors for a sit down restaurant to be any good. On the plus side, the tequila helped me forget the awful food.",negative,neutral,negative
"Hungry and craving Mexican food in the Venetian? This is a pretty good place to go. The portions are big and the restaurant itself is nice. It is right next to the canal so you can wave at the gondolas going by. \n\nI agree with the other guy. The food was solid. We ordered the carne asada tacos which came with 3 tacos and a side of rice and beans. It was good, but we weren't raving over it. THE POSOLE THOUGH. It was my first time having Posole (I was surprised it was green) and it was really tasty. My friend knows her food and she loved it as well. We kept wanting to go back for more Posole, but didn't have the chance to.",positive,neutral,positive
This is a decent Mexican restaurant with great staff and a relaxed environment. We had some wonderful beef enchiladas and a nice dining exerience.,positive,neutral,positive
"Just came to pass the time with a drink. Nice location on the grand canal inside the Venetian, great ambience. \n\nThe margarita, advertised as \""the best in town\"", was definitely not, but for $5 at happy hour, was a good value. \n\nChips were standard out of a bag probably, but the salsa was good with some roasted pepper in there.\n\nUPDATE: Despite not being a featured happy hour drink, I ordered the jalape\u00f1o-infused margarita. MUCH better, the ingredients seem fresher (the Classic was too syrupy). The jalape\u00f1o-infused has fresh orange and cilantro in it for an interesting twist.",positive,neutral,negative
"This place is located in the Venetian and has great tacos, burritos and enchiladas. The service is always good and I frequently take colleagues here. My favorite appetizer is the chips, salsa and guacamole and the drinks are delicious as well! The prices are a bit high but I get a corporate discount which is nice. Would recommend for a nice Mexican food night out!",positive,neutral,positive
"The goods: chips and guacamole, ca\u00f1onita margarita, mojitos, and... Um....\n\nThis place is great for resting your feet and chomping some chips to absorb the remainder of last night's alcohol. Having a margarita will chase that last shadow of a hangover away. Just don't expect to be in a hurry or to be at all dazzled by the food.\n\nAn hour into our meal, our dishes arrived and were flavorless and UNCOOKED. Plates seemed like they weren't clean and service was excruciatingly slow. As many other reviews state, this isn't a place to enjoy much of anything other than drinks. As it to your Las Vegas Don't Do List.",negative,neutral,negative
"Ok, I am a lookie look shopper, not someone that actually buys this ridiculously expensive stuff.  The place is done up nice, and is fairly new. St. Marks square reproduction starts your journey. All kinds and types of shops. \n\nThe Venetian glass shop was my favorite. So, take a stroll and check it out. The shoppes have something for everybody.",positive,neutral,positive
"You'd expect a better range of stores located here but you won't find it. We were fighting the crowds and all we found were the usual stuff like Kenneth Cole, Ann Taylor, BCBG -- nothing out of the ordinary. On top of that you'll be trying to fight through the people standing around watching tourists go on a gondola ride.\n\nParking sucks too because the Venetian is such a popular hotel that their valet parking fills up rather quickly and then it becomes available for hotel guests only. You'll have to make your way to the self parking which is a horrendous 10-floor structure. Once you've parked, you'll have to maneuver your way to the elevators where you will be fighting more people to finally get to the shopping area. The worse part is getting back to your car because there will be a line waiting to get into the elevators.\n\nHorrible horrible place to shop. Go to the Forum Shops instead.",negative,neutral,negative
"Oh The Venetian Grand Canal Shoppes. I have brought many a family member and friend here just to walk around and gawk at things. I have never, not once, bought something here. I am sure other locals will not be surprised by this omission, as I am sure other locals would say the same thing.\n\nThe gondola rides have been around forever it seems and I have yet to step foot on one. However, it is fun to giggle at the tourists floating around in a fake Venice. I suppose if I had the expendable cash it would be a cute thing to do, but considering how long I've gone without doing the gondola ride, my expectations of really doing it are very low.\n\nI feel as though the Canal Shoppes are set up strangely and I always get lost. I've been in this place probably 20+ times and I still get lost. Especially now that they have been linked to the Palazzo Shoppes. \n\nPlus, I am sorry, but I just cannot get over the baby-hooker smell of The Venetian/Grand Canal Shoppes. Yes, I have dubbed it baby-hooker smell. I don't care what The Venetian thinks it smells like, it smells like baby-hooker.",negative,neutral,neutral
This is a great way to avoid the 100+ degree temps. The shops are high end but bargains can be had if you look around. The restaurants are of good quality with none any better or worse than the other.,positive,neutral,positive
"Maybe we just went on a bad day last December when everything was closing early due to snow. However, they had some cool games but it would have been crazy to pay for a full day when we could only play for two hours. \n\nThe bathrooms were disgusting and the entire place smelled of raw sewage. I felt like I was in the French Quarter in New Orleans!",negative,neutral,negative
"An easy little stroll from Excalibur, MGM, New York New York and a few other hotels on the strip. They have literally EVERYTHING. \n\nGreat place to do some room stocking when a simple soda or bottle of water is 3 bucks and up in the casino. I wandered down to grab some beverages and snacks for the stay and was back to my room in no time. \n\nNice to know there's somewhere you can grab a few things you may have forgotten or didn't think you needed.",positive,neutral,positive
"Los Antojos just got a killer review by John Curtas: eatinglasvegas.com http://www.eatinglv.com/2009/07/los-antojos/ Congratulations!  This is actually it's 2nd great article in a couple of weeks -- the first as a shout out from Alex Stratta in Las Vegas Weekly.\n\nIf only all the great mom & pop places in Vegas/Henderson, could get their 15 minutes -- \n\noh right, that's what Yelp's supposed to be...but all you bozos keep writing about are the big strip joints to get your review counts up. And the rest have covered In n Out enough to last an eternity.  Oh, and don't forget the myriad of idiots who order wrong at Lotus, then trash it. Seriously, you think we can't tell...?!\n\nPlease, people. Broaden your horizons. There are great gems still waiting to be discovered.",neutral,neutral,negative
"The food is made to order and tastes great. It's a small place and based on the food alone, is probably busy all the time.",positive,neutral,negative
"Everything is good. Tacos, Enchiladas, and Mole =)",positive,neutral,positive
Love this place!! Very friendly staff! Huge selection of guns! Great rental counter and don't forget the awesome selection of full autos and semi autos to rent and shoot!!! Love it! We had a blast! Literally! :) thanks Discount Firearms!! Defiantly recommend this place! Especially the gm he came out just to make sure we had a great time!,positive,neutral,positive
"A friend of mine had recommended checking this place out due to the prices being fair and usually lower than all the competitors. I had also heard that they did consignment and decided that the old W.W. Greener that I had could possibly find a new home through them. \n\nAfter walking in I noticed that it has a different feel than most gun shops in town. All of the other shops I have been in have the concrete grey floors and the very minimalist/Bunkeresque feel to them. It seemed to me like they try to make this place feel a little more inviting, it could just be that the place had wood floors and and a different feel when they leased the place but it works. \n\nI presented my shotgun to the clerk on duty and he was very knowledgeable and friendly when it came to researching the gun and giving me a strait forward answer. He had mentioned that He could put it on the shelves but due to where we live and what people want that unless it is an assault rifle that looks like the ones in the video games it will probably sit for quite some time but he would recommend listing it myself on Gun Broker and sure enough I did and it sold.\n\nA took a few minutes to chat with the guy before walking around and checking out accessories, which I must add, they were definitely not cheaper than other shops when it came to those. I priced a Black Hawk Paddle holster and it was insanely marked up but the guns seem to be okay. \n\nI would go back here if I needed to consign something or get some quick gun advice but no necessarily for accessories or ammo",positive,neutral,negative
"I haven't been here in quite some time due to the fact that it used to have a pretty crappy reputation for bad customer service, but I recently came to give it another shot since they were bought out about 2+ years ago and wanted to see what the race was all about. I see them all over facebook and on the radio. Needless to say I walked away very impressed! They gave the store a complete make over! It looks great and feels better! The staff was very nice and helpful. Their was some of the same staff there but they had a much better attitude than they used to.\n  They even came out from behind the counter to help me find a holster for my Sig 238. They also carry a lot of new product! Before it was kinda empty and pathetic other than magazines etc. now they are a full 5.11 dealer!!!! I love 5.11! They have the pants the shirtstge bags,(range and rifle cases) even they backpacks! They even have the holsters, attachment for the packs, socks, boots, even the briefs and undershirts! Their selection of guns was great!! Especially in the gun economy where everything is hard to get. Can you tell I was shocked!! Lol \nAnyways. If you haven't been in for a while or not at all, definitely worth the trip!! I am glad I did! I will be back for sure! The General Manager even came out to make sure I was being taken care of! Oh yeah I got a new backpack while I was their! The 5.11 rush 24! I travel a lot and love a comfy durable pack! See you soon Discount!!",positive,neutral,positive
Both times I have been in here I have been disappointed. Last time when I was look for a firearm they showed me a little pink gun I'm assuming because I'm a female. This time we came because online it states they are a full 5.11 retailer. They are not as we were only able to locate 1 polo that was 5.11. It is now the beginning of June and they still have a 2day sale sign up for 20% off 5.11 that is from May. Also because we were not looking at the firearms not a single employee spoke to us. I will continue to stay away from this store as they are not customer friendly.,negative,neutral,negative
"We did the 10 minute flight over the strip, the tour van picked us up in the secret Venetian parking lot in the rear where no one can see whats really going on. I had to squeeze in the back of this grimey van next to some odd couple it was the only place I could fit, luckily I am small otherwise who knows how this would have worked! My partner in crime rode shotgun rather than attempt fitting anywhere else in the dirty sardine packed van. They drive you to their office. The whole way I am texting my b/f my last will and testament, just in case! You get there and are told you will weigh in yay! You get some all you can drink cheap champagne in those fancy plastic cups ;) as you painfully wait to watch a safety video that basically sells their DVD's. Then you wait to get on another van that takes you to the actual airport. They pair you with 4 other people or 2 couples however way you want to look at it but it is done by weight. The pilot had the tour down he was very knowledgeable about the strip etc. I suggest not using your flash if the pilot says \""ahhh Go ahead\"" I was dissapointed in the $35 video they get you waving before flight then again after landing its not even real sound and the dvd itself is just another advertisement I will probably never share with family or friends. You get what you pay for maybe?!?! Next time I will check yelp first I promise!",negative,neutral,negative
"I cannot believe ANYONE was able to give this company a good review! I am by far completely and utterly dissatisfied with their morals and values. I am also completely dissatisfied with their service and integrity. From the reviews on trip advisor I'm sure that whatever misfortune they have experienced they definitely deserved.\n\nI've never heard of the company until I purchased a deal on Living Social. Needless to say I've never been on a helicopter and was extremely excited to experience this. Upon receiving my deal I immediately made a phone call to the company to make my appointment. I called them on a Saturday and ended up scheduling for a Tuesday. The phone call wasn't all that pleasant but it wasn't bad either. That is literally three days in between. We show up for our appointment 10 minutes early and the doors are locked, lights on, the place is a mess and looks to have been cleared out and left in a hurry. We circled the parking lot looking for an agent, we tried calling several times with a busy tone every time, and everyone we asked had no idea where the Heli USA workers were at. We finally got help from a very nice lady in the Aviation building who told us that several other individuals had come through there asking the same questions we were and it seems the company had just vanished. Good thing I paid my money to Living Social, otherwise I'm sure I would have completely lost out on getting a refund.\n\nWhat makes me more upset is that on a Saturday this woman did not have the decency of a human being to let us know that things with the company are not going well, or even to give us a heads up and say wait until Monday to make an appointment. The shadiness of it all truly was unprofessional, disappointing, and most of all annoying. I hope anyone that has purchased the Living Social deal reads this first. BEWARE!!\n\nUGH, It wouldn't let me give 0 stars. So one because I have to.",negative,neutral,negative
"I'm not a big sports fan. In fact, I'm not a sports fan (I watch for cheerleaders, car crashes when my wife isn't around). We had a group dinner here, but our reservations got messed up and our group of 13 was going to be put at two separate tables. After some protracted negotiation, we were put in a small glassed off room.\n\nFrom then on, it was a good experience. The food menu was largely burgers (and some of the best buffalo wings I have had in a long time) and large beers (24 ouncers).\n\nAfterwards, we headed upstairs to the gaming zone, an area with sports-ish video games. It was a little weird playing video games iwth co-workers, but we had a blast on the different driving games.\n\nIf sports on TV is your thing, this is your place. Otherwise, its just another okay restaurant with lots of TVs on the multiple ESPN stations.",neutral,neutral,negative
It was good........we were all hungry after hanging at the pool all day so we wanted a quick bite to eat.....\n\nthe nachos came out fast but the rest took a little while.\n\nI had the chicken tenders salad which made me wonder why didn't i just order the chicken tenders ha!\n\nAt least the boys had a good view of the TV :),neutral,negative,positive
"I was in heaven!!!!!!!\n\nI kid you not, it felt like I shed a tear when I walked in. There was over 100 TV's all around the restaurant. There wasn't a seat where you couldn't see a game. \n\nThe menu is not the greatest in the world, but it's a sports bar, there shouldn't be much to ask but burgers, wings and beer. You shouldn't ask for more than that. Their portions are decent size.\n\nBeware of the Nachos cause even though they say they are appetizers on the menu, they are bigger than your head. I can't wait to go back there and watch a Raider game....yes you heard me right a Raider game.",positive,neutral,positive
"ESPN Zone has cool concept. Eat while watching your favorite sports teams. We came here last week to watch the Warriors game. My cousin's 4 year old son Loves the warriors. He can sit through a whole game and knows most of the players. I think its pretty amazing. So after leaving him in this kids place most of the day we thought he would enjoy ESPN Zone for dinner. \n\nThe food was actually not bad. But nothing spectacular. I usually list everything off but I'm not going to b/c that's all you really need to know. It's bar food. \n\nThe service actually is not good. The waiter even gave my mother attitude when she asked him about a drink. He might not have heard her b/c the place is loud but attitude was not necessary. \n\nThe TV at the table was pretty cool. They have all these different feeds and you can chose what you want to watch. We were however having some volume issues. All we could hear was the booth's next to us feed. And yes, I did try to raise the volume using the touch pad tv screen. It wasn't working.",neutral,neutral,negative
"Why did I even come here, this is a big ass tourist trap to begin with and I knew it, I have been to the one in Time's Square for Peet's sake, the beer were expensive, I had the wings and it was barely tolerable as it didn't really have a real flavor to them. The only decent things were the service, the big screen TVs with sports on them (this is ESPN Zone after all) and free wi-fi, so supposedly you can do work. Just skip this place there are far better places to enjoy a game while in Vegas.",negative,neutral,negative
In search of something decent in the hot evening as we pass through casino after casino with the Saturday night hooch in full watch.\nWe make it over to ESPN in New York.\nOne thing you know about here is it will be consistent and they got Stella on top..\nYes... my dirty Belgium blonde\nThe black n blue burger with the apple walnut salad.\nLike i said it worked!\nAdd a 32oz beer n the night is good to go.,positive,neutral,positive
